2019-09-25 10:32:21.262  INFO   --- [AWT-EventQueue-0] c.s.basestation2.BaseStation2App         : basePath: /opt/StayPrime/BaseStation/
2019-09-25 10:32:21.340 DEBUG   --- [AWT-EventQueue-0] c.s.b.i.ApplicationInstanceManager       : Listening for application instances on socket 44331
2019-09-25 10:36:04.550  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:36:07.321  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:14.643  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:23.517  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:27.321  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:36:28.653  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:36:31.394  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:36:34.148  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:41.594  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:51.543  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:36:54.177  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:36:55.531  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:36:58.640  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:37:01.201  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:08.894  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:18.459  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:21.201  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:37:22.629  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:37:25.280  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:37:27.915  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:35.293  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:44.105  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:37:47.915  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:37:49.384  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:37:51.951  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:37:54.750  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:03.744  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:11.241  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:14.750  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:38:16.076  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:38:18.558  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:38:20.951  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:28.256  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:35.703  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:40.951  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:38:42.260  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:38:44.611  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:38:46.960  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:38:54.253  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:03.220  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:06.960  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:39:08.250  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:39:10.554  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:39:12.921  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:20.211  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:27.673  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:32.921  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:39:34.214  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:39:36.519  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:39:38.910  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:46.201  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:53.638  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:39:58.910  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:40:00.211  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:40:04.554  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:40:07.344  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:14.665  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:22.302  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:27.345  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:40:28.765  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:40:31.274  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:40:33.789  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:41.105  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:49.173  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:40:53.789  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:40:55.191  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:40:57.762  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:41:00.297  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:07.613  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:17.263  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:20.297  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:41:21.682  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:41:24.210  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:41:26.721  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:34.048  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:41.805  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:41:46.721  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:41:48.130  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:41:50.912  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:41:53.621  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:01.090  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:08.652  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:13.621  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:42:16.623  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:42:19.003  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:42:21.506  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:28.804  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:36.253  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:41.506  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:42:42.844  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:42:45.240  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:42:47.623  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:42:54.922  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:02.367  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:07.624  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:43:08.958  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:43:11.427  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:43:13.841  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:21.156  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:30.284  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:33.841  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:43:35.321  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569387510480, remote - 1569387510480, delta - 0
2019-09-25 10:43:37.937  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
